question_id,question,expected,response,correct,gold_position
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,I don't know.,False,25
item_0007,Who presented the 'In Memoriam' segment at the 97th Academy Awards?,Morgan Freeman,Morgan Freeman,True,30
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,1
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,5
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,10
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,15
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,20
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,25
item_0008,Who received the Jean Hersholt Humanitarian Award at the 97th Academy Awards' Governors Awards?,Richard Curtis,I don't know.,False,30
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,1
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,5
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,10
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,15
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,20
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,25
item_0009,"How many nominations did Emilia Pérez receive at the 97th Oscars, the most for a non-English-language film?",thirteen,Thirteen nominations.,True,30
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations.,True,1
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations.,True,5
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations.,True,10
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations.,True,15
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations.,True,20
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations.,True,25
item_0010,"How many nominations did the film Sinners receive at the 98th Academy Awards, setting a new Oscar record?",sixteen,Sixteen nominations,True,30
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,1
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,5
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,10
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,15
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,20
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,25
item_0011,What new category was introduced at the 98th Academy Awards?,Best Casting,Best Casting,True,30
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,Dolly Parton,True,1
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,Dolly Parton,True,5
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,I don't know.,False,10
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,I don't know.,False,15
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,I don't know.,False,20
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,Dolly Parton,True,25
item_0012,Who received the Jean Hersholt Humanitarian Award at the 98th Academy Awards' Governors Awards?,Dolly Parton,I don't know.,False,30
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,Autumn Durald Arkapaw,True,1
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,Autumn Durald Arkapaw,True,5
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,Autumn Durald Arkapaw,True,10
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,I don't know.,False,15
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,I don't know.,False,20
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,I don't know.,False,25
item_0013,Who became the first woman of color nominated for Best Cinematography at the 98th Oscars?,Autumn Durald Arkapaw,Autumn Durald Arkapaw,True,30
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,Dede Gardner,True,1
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,I don't know.,False,5
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,Dede Gardner,True,10
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,Dede Gardner,True,15
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,Dede Gardner,True,20
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,I don't know.,False,25
item_0014,Who became the most-nominated female producer at the 98th Academy Awards?,Dede Gardner,Dede Gardner,True,30
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,I don't know.,False,1
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,I don't know.,False,5
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,I don't know.,False,10
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,I don't know.,False,15
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,Wagner Moura,True,20
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,Wagner Moura,True,25
item_0015,Who became the first Brazilian nominated for Best Actor in a Leading Role at the 98th Oscars?,Wagner Moura,Wagner Moura,True,30
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,I don't know.,False,1
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,I don't know.,False,5
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,I don't know.,False,10
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,I don't know.,False,15
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,I don't know.,False,20
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,I don't know.,False,25
item_0016,Which actress set the record for the longest gap between Oscar nominations at the 98th Academy Awards?,Amy Madigan,Ruth E. Carter,False,30
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,1
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,5
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,10
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,15
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,20
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,25
item_0017,Which nominated casting director said 'people really don't understand what casting directors do' during a panel about the new Best Casting category?,Cassandra Kulukundis,Cassandra Kulukundis,True,30
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,1
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,5
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,10
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,15
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,20
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,25
item_0018,"Who hosted the 82nd Golden Globe Awards, becoming the first solo female host in Golden Globes history?",Nikki Glaser,Nikki Glaser,True,30
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,1
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,5
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,10
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,15
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,20
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,25
item_0019,Who received the Cecil B. DeMille Award at the 82nd Golden Globes?,Viola Davis,I don't know.,False,30
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,1
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,5
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,10
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,15
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,20
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,25
item_0020,Who received the Carol Burnett Award at the 82nd Golden Globe Awards?,Ted Danson,I don't know.,False,30
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,1
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,5
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,10
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,15
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,20
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,25
item_0021,Which firm took over tabulating the nominations at the 82nd Golden Globes from Ernst & Young?,KPMG,KPMG,True,30
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,I don't know.,False,1
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,I don't know.,False,5
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,I don't know.,False,10
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,36,True,15
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,36,True,20
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,36,True,25
item_0022,How many total nominations did Netflix receive at the 82nd Golden Globe Awards?,36,36,True,30
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,1
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,5
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,10
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,15
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,20
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,25
item_0023,Who became the first Brazilian actress to win a Golden Globe in an acting category at the 82nd Golden Globes?,Fernanda Torres,Fernanda Torres,True,30
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,10,True,1
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,I don't know.,False,5
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,10 nominations,True,10
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,10 nominations,True,15
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,10,True,20
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,10,True,25
item_0024,How many nominations did Emilia Pérez receive at the 82nd Golden Globe Awards?,10,10,True,30
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,Aubrey Plaza and Rob McElhenney.,True,1
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,I don't know.,False,5
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,Aubrey Plaza and Rob McElhenney,True,10
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,I don't know.,False,15
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,Aubrey Plaza and Rob McElhenney,True,20
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,I don't know.,False,25
item_0025,Which two presenters were originally announced for the 82nd Golden Globes but were not included in the final running order?,Aubrey Plaza and Rob McElhenney,Aubrey Plaza and Rob McElhenney,True,30
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,1
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,5
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,10
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,15
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,20
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,25
item_0026,Who hosted the 81st Golden Globe Awards ceremony?,Jo Koy,Jo Koy,True,30
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,Lily Gladstone,True,1
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,Lily Gladstone,True,5
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,I don't know.,False,10
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,I don't know.,False,15
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,Lily Gladstone,True,20
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,Lily Gladstone,True,25
item_0027,Who became the first Indigenous actor to win a Golden Globe Award at the 81st ceremony?,Lily Gladstone,Lily Gladstone,True,30
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,CBS,True,1
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,CBS,True,5
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,I don't know.,False,10
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,CBS,True,15
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,CBS,True,20
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,CBS,True,25
item_0028,"Which network acquired the broadcast rights for the 81st Golden Globe Awards, replacing NBC?",CBS,CBS,True,30
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,Seventeen.,True,1
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,Seventeen nominations.,True,5
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,Seventeen.,True,10
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,Seventeen nominations.,True,15
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,Seventeen nominations.,True,20
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,I don't know.,False,25
item_0029,How many combined nominations did Barbenheimer receive at the 81st Golden Globes?,seventeen,Seventeen nominations.,True,30
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,64 voters,True,1
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,64 voters,True,5
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,64 voters,True,10
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,64 voters,True,15
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,64 voters,True,20
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,64 voters,True,25
item_0030,How many voters threatened to withhold their final-round votes in protest at the 81st Golden Globe Awards?,64,I don't know.,False,30
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,1
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,5
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,10
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,15
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,20
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,25
item_0031,How many journalists made up the new group of voters selecting the nominees and winners at the 81st Golden Globes?,300,300,True,30
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,76,True,1
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,76,True,5
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,I don't know.,False,10
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,76,True,15
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,76,True,20
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,76,True,25
item_0032,How many countries were represented by the new group of voters at the 81st Golden Globe Awards?,76,76,True,30
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,1
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,5
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,10
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,15
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,20
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,25
item_0033,Who hosted the 77th BAFTA Film Awards ceremony?,David Tennant,David Tennant,True,30
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,1
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,5
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,10
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,15
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,20
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,25
item_0034,Who received the BAFTA Fellowship at the 77th British Academy Film Awards?,Samantha Morton,Samantha Morton,True,30
item_0035,Who received the Outstanding British Contribution to Cinema award at the 77th BAFTAs?,June Givanni,June Givanni,True,1
item_0035,Who received the Outstanding British Contribution to Cinema award at the 77th BAFTAs?,June Givanni,I don't know.,False,5
item_0035,Who received the Outstanding British Contribution to Cinema award at the 77th BAFTAs?,June Givanni,June Givanni,True,10
